Model,N,InferenceTime_ms
MLP_NN,10,0.9686380508355796
LSTM,10,30.836707970593125
XGBoost,10,1.3809179654344916
MLP_NN,10,1.0012240381911397
LSTM,10,27.655267040245235
XGBoost,10,1.4161160215735435
MLP_NN,10,1.0135250049643219
LSTM,10,27.457730961032212
XGBoost,10,1.4101560227572918
MLP_NN,10,1.0194159694947302
LSTM,10,27.8747120173648
XGBoost,10,2.003902045544237
MLP_NN,10,0.9894449613057077
LSTM,10,27.611161989625543
XGBoost,10,1.3794730184599757
MLP_NN,10,0.9969579987227917
LSTM,10,27.73531200364232
XGBoost,10,2.1871280041523278
MLP_NN,10,0.9965460048988461
LSTM,10,27.526952035259455
XGBoost,10,1.3316429685801268
MLP_NN,10,0.9967039804905653
LSTM,10,27.69441099371761
XGBoost,10,1.3295719982124865
MLP_NN,10,0.9514820412732661
LSTM,10,27.262575982604176
XGBoost,10,1.2743049883283675
MLP_NN,10,0.9818009566515684
LSTM,10,26.887885993346572
XGBoost,10,1.3391649699769914
MLP_NN,10,0.9874650277197361
LSTM,10,27.413422998506576
XGBoost,10,1.3375930138863623
MLP_NN,10,1.0025540250353515
LSTM,10,27.283499017357826
XGBoost,10,1.788334979210049
MLP_NN,10,0.9837120305746794
LSTM,10,28.82523398147896
XGBoost,10,1.5735760098323226
MLP_NN,10,1.0574450134299695
LSTM,10,27.858996007125825
XGBoost,10,1.3818690204061568
MLP_NN,10,1.098575012292713
LSTM,10,27.84068899927661
XGBoost,10,1.551964960526675
MLP_NN,10,1.0114830220118165
LSTM,10,32.08592801820487
XGBoost,10,2.2212230251170695
MLP_NN,10,1.0030610137619078
LSTM,10,27.92585699353367
XGBoost,10,1.6425210051238537
MLP_NN,10,1.081611029803753
LSTM,10,27.68957504304126
XGBoost,10,1.3524009846150875
MLP_NN,10,0.9679679642431438
LSTM,10,27.321417001076043
XGBoost,10,1.3748889905400574
MLP_NN,10,1.011335989460349
LSTM,10,27.553126972634345
XGBoost,10,1.361598027870059
MLP_NN,10,0.9641539654694498
LSTM,10,27.342478977516294
XGBoost,10,2.200593997258693
MLP_NN,10,1.6757100238464773
LSTM,10,33.93456502817571
XGBoost,10,1.3152079773135483
MLP_NN,10,0.9952980326488614
LSTM,10,28.30653201090172
XGBoost,10,1.5380939585156739
MLP_NN,10,0.9584830258972943
LSTM,10,27.113648015074432
XGBoost,10,1.3267190079204738
MLP_NN,10,0.968586013186723
LSTM,10,29.270333994645625
XGBoost,10,1.4369739801622927
MLP_NN,10,1.0245079756714404
LSTM,10,27.834946988150477
XGBoost,10,1.4292459818534553
MLP_NN,10,0.9481830056756735
LSTM,10,28.127593046519905
XGBoost,10,1.4368629781529307
MLP_NN,10,0.9740130044519901
LSTM,10,27.8102740412578
XGBoost,10,1.4257599832490087
MLP_NN,10,0.9766700095497072
LSTM,10,27.662219014018774
XGBoost,10,1.3826080248691142
MLP_NN,10,0.9717129869386554
LSTM,10,27.85781299462542
XGBoost,10,1.3814190169796348
MLP_NN,10,0.9829929913394153
LSTM,10,27.689684997312725
XGBoost,10,1.3648889726027846
MLP_NN,10,1.0204269783571362
LSTM,10,28.151052014436573
XGBoost,10,1.9553019665181637
MLP_NN,10,0.9882060112431645
LSTM,10,27.658105012960732
XGBoost,10,1.4642630121670663
MLP_NN,10,0.9789320174604654
LSTM,10,27.27389201754704
XGBoost,10,1.3981819502077997
MLP_NN,10,0.9736919892020524
LSTM,10,27.461057004984468
XGBoost,10,1.3639699900522828
MLP_NN,10,0.9807400056160986
LSTM,10,27.37018803600222
XGBoost,10,1.303628960158676
MLP_NN,10,1.0100729996338487
LSTM,10,29.540368006564677
XGBoost,10,2.349062997382134
MLP_NN,10,1.640269998461008
LSTM,10,28.535168967209756
XGBoost,10,1.419596024788916
MLP_NN,10,1.0227760067209601
LSTM,10,28.1331529840827
XGBoost,10,1.4103470020927489
MLP_NN,10,1.0154059855267406
LSTM,10,28.29427196411416
XGBoost,10,1.3400840107351542
MLP_NN,10,0.9957409929484129
LSTM,10,27.424023021012545
XGBoost,10,1.3774500112049282
MLP_NN,10,0.9851669892668724
LSTM,10,28.102106996811926
XGBoost,10,1.6406590002588928
MLP_NN,10,1.0701270075514913
LSTM,10,27.820450020954013
XGBoost,10,1.3831399846822023
MLP_NN,10,1.0224839788861573
LSTM,10,27.90697501040995
XGBoost,10,2.2900699987076223
MLP_NN,10,1.683046983089298
LSTM,10,28.52079301374033
XGBoost,10,1.3266789610497653
MLP_NN,10,0.9925250196829438
LSTM,10,27.854297019075602
XGBoost,10,1.3696030364371836
MLP_NN,10,0.9962899493984878
LSTM,10,27.080138970632106
XGBoost,10,2.202401985414326
MLP_NN,10,1.6606670105829835
LSTM,10,31.31688601570204
XGBoost,10,1.347593031823635
MLP_NN,10,0.9817659738473594
LSTM,10,29.760402045212686
XGBoost,10,1.4929859898984432
MLP_NN,10,0.9920090087689459
LSTM,10,28.614657989237458
XGBoost,10,1.4067470328882337
MLP_NN,10,1.011446991469711
LSTM,10,28.012209048029035
XGBoost,10,1.3438030146062374
MLP_NN,10,1.0147549910470843
LSTM,10,32.14629500871524
XGBoost,10,1.3954949681647122
MLP_NN,10,0.9999969624914229
LSTM,10,27.647567039821297
XGBoost,10,1.4458669465966523
MLP_NN,10,0.9850839851424098
LSTM,10,27.513428998645395
XGBoost,10,1.3652360066771507
MLP_NN,10,0.9716209606267512
LSTM,10,27.827409969177097
XGBoost,10,1.829404034651816
MLP_NN,10,0.9925629710778594
LSTM,10,27.683385997079313
XGBoost,10,1.3738989946432412
MLP_NN,10,1.0165109997615218
LSTM,10,28.44191197073087
XGBoost,10,1.4664040063507855
MLP_NN,10,0.9832429932430387
LSTM,10,28.214001969899982
XGBoost,10,2.1847939933650196
MLP_NN,10,1.035124994814396
LSTM,10,27.96716900775209
XGBoost,10,1.321944990195334
MLP_NN,10,0.9987330413423479
LSTM,10,27.65122801065445
XGBoost,10,1.390886027365923
MLP_NN,10,0.9697549976408482
LSTM,10,30.03979299683124
XGBoost,10,1.418879022821784
MLP_NN,10,1.007338985800743
LSTM,10,28.011056012474
XGBoost,10,1.521139987744391
MLP_NN,10,0.9987140074372292
LSTM,10,32.63691603206098
XGBoost,10,2.283197012729943
MLP_NN,10,1.6666220035403967
LSTM,10,39.97410903684795
XGBoost,10,1.3729180209338665
MLP_NN,10,0.9909680229611695
LSTM,10,28.257147991098464
XGBoost,10,1.437885977793485
MLP_NN,10,1.0146250133402646
LSTM,10,27.961242012679577
XGBoost,10,1.3650290202349424
MLP_NN,10,1.0100629879161716
LSTM,10,27.49092795420438
XGBoost,10,1.3933709706179798
MLP_NN,10,0.9568060049787164
LSTM,10,27.47813699534163
XGBoost,10,1.3425000361166894
MLP_NN,10,0.9779240353964269
LSTM,10,28.33530801581219
XGBoost,10,1.342125004157424
MLP_NN,10,1.0095289908349514
LSTM,10,27.500103984493762
XGBoost,10,1.2952910037711263
MLP_NN,10,0.9759410168044269
