time,delay_ms
2025-03-05 12:26:00.512,65.9852
2025-03-05 12:26:01.516,65.6917
2025-03-05 12:26:02.519,318.9654
2025-03-05 12:26:03.515,284.6200
2025-03-05 12:26:04.516,242.5806
2025-03-05 12:26:05.515,203.7932
2025-03-05 12:26:06.515,63.1097
2025-03-05 12:26:07.516,122.6308
2025-03-05 12:26:08.518,81.6246
2025-03-05 12:26:09.520,356.6181
2025-03-05 12:34:03.785,-1.0000
2025-03-05 12:34:04.784,337.7232
2025-03-05 12:34:05.783,298.6044
2025-03-05 12:34:06.784,258.4443
2025-03-05 12:34:07.784,517.2189
2025-03-05 12:34:08.785,184.5366
2025-03-05 12:34:09.784,134.8052
2025-03-05 12:34:10.786,96.4897
2025-03-05 12:34:11.787,391.3309
2025-03-05 12:34:12.787,334.8350
2025-03-05 12:34:13.786,95.0242
2025-03-05 12:34:14.788,258.5922
2025-03-05 12:34:15.792,109.3450
2025-03-05 12:34:16.791,195.9888
2025-03-05 12:34:17.792,130.3909
2025-03-05 12:34:18.790,72.0745
2025-03-05 12:34:19.792,69.0987
2025-03-05 12:34:20.793,328.0663
2025-03-05 12:34:21.791,290.9548
2025-03-05 12:34:22.794,249.5274
2025-03-05 12:34:23.798,67.5634
2025-03-05 12:34:24.801,480.4075
2025-03-05 12:34:25.796,125.8430
2025-03-05 12:34:26.797,85.5695
2025-03-05 12:34:27.796,365.1815
2025-03-05 12:34:28.799,122.3148
2025-03-05 12:34:29.799,65.1466
2025-03-05 12:34:30.802,241.6783
2025-03-05 12:34:31.800,209.2668
2025-03-05 12:34:32.801,161.4013
2025-03-05 12:34:33.802,101.6696
2025-03-05 12:34:34.803,408.0451
2025-03-05 12:34:35.804,357.1487
2025-03-05 12:34:36.802,78.7047
2025-03-05 12:34:37.805,283.7687
2025-03-05 12:34:38.805,395.8022
2025-03-05 12:34:39.805,198.7154
2025-03-05 12:34:40.805,479.2279
2025-03-05 12:34:41.807,153.4811
2025-03-05 12:34:42.806,74.7456
2025-03-05 12:34:43.807,342.7763
2025-03-05 12:34:44.810,314.1499
2025-03-05 12:34:45.812,269.4299
2025-03-05 12:34:46.809,231.8812
2025-03-05 12:34:47.811,210.1509
2025-03-05 12:34:48.811,153.6783
2025-03-05 12:34:49.810,306.7836
2025-03-05 12:34:50.813,390.3021
2025-03-05 12:34:51.812,350.4881
2025-03-05 12:34:52.815,309.0232
2025-03-05 12:34:53.812,135.0894
2025-03-05 12:34:54.815,237.1569
2025-03-05 12:34:55.816,187.0319
2025-03-05 12:34:56.816,145.6560
2025-03-05 12:34:57.817,104.9179
2025-03-05 12:34:58.815,386.6481
2025-03-05 12:34:59.816,85.0526
2025-03-05 12:35:00.818,86.7135
2025-03-05 12:35:01.819,262.6621
2025-03-05 12:35:02.818,224.0450
2025-03-05 12:35:03.819,183.6322
2025-03-05 12:35:04.820,204.5538
2025-03-05 12:35:05.821,103.3413
2025-03-05 12:35:06.821,382.1435
2025-03-05 12:35:07.821,340.7454
2025-03-05 12:35:08.822,120.6822
2025-03-05 12:35:09.822,78.7057
2025-03-05 12:35:10.824,108.9724
2025-03-05 12:35:11.825,184.4511
2025-03-05 12:35:12.825,145.2103
2025-03-05 12:35:13.825,430.8324
2025-03-05 12:35:14.827,93.9989
2025-03-05 12:35:15.827,334.7635
2025-03-05 12:35:16.826,296.9611
2025-03-05 12:35:17.830,90.8226
2025-03-05 12:35:18.828,215.4169
2025-03-05 12:35:19.831,72.2191
2025-03-05 12:35:20.832,128.1454
2025-03-05 12:35:21.832,90.2379
2025-03-05 12:35:22.833,115.6679
2025-03-05 12:35:23.836,325.0237
2025-03-05 12:35:24.835,259.5553
2025-03-05 12:35:25.838,248.1569
2025-03-05 12:35:26.835,205.5641
2025-03-05 12:35:27.836,86.4043
2025-03-05 12:35:28.836,124.2136
2025-03-05 12:35:29.838,84.3516
2025-03-05 12:35:30.839,371.1678
2025-03-05 12:35:31.840,328.4556
2025-03-05 12:35:32.839,282.0410
2025-03-05 12:35:33.841,242.9971
2025-03-05 12:35:34.841,199.6959
2025-03-05 12:35:35.842,161.9009
2025-03-05 12:35:36.843,121.1729
2025-03-05 12:35:37.845,405.1120
2025-03-05 12:35:38.843,359.2623
2025-03-05 12:35:39.846,315.0451
2025-03-05 12:35:40.845,78.0137
2025-03-05 12:35:41.848,232.9885
2025-03-05 12:35:42.848,195.9632
2025-03-05 12:35:43.848,152.9259
2025-03-05 12:35:44.848,74.2283
2025-03-05 12:35:45.849,106.0596
2025-03-05 12:35:46.851,363.3397
2025-03-05 12:35:47.851,310.9516
2025-03-05 12:35:48.850,274.5709
2025-03-05 12:35:49.852,232.2992
2025-03-05 12:35:50.853,206.1396
2025-03-05 12:35:51.855,131.5486
2025-03-05 12:35:52.853,110.1369
2025-03-05 12:35:53.855,392.6851
2025-03-05 12:35:54.854,353.2927
2025-03-05 12:35:55.856,184.0195
2025-03-05 12:35:56.855,273.1912
2025-03-05 12:35:57.858,551.4314
2025-03-05 12:35:58.858,71.3289
2025-03-05 12:35:59.859,141.6325
2025-03-05 12:36:00.859,83.2082
2025-03-05 12:36:01.857,84.1759
2025-03-05 12:36:02.858,352.2243
2025-03-05 12:36:03.859,302.7611
2025-03-05 12:36:04.858,265.6763
2025-03-05 12:36:05.862,193.5180
2025-03-05 12:36:06.861,180.0636
2025-03-05 12:36:07.861,140.1157
2025-03-05 12:36:08.862,100.9865
2025-03-05 12:36:09.866,389.3321
2025-03-05 12:36:10.862,314.2625
2025-03-05 12:36:11.864,299.2589
2025-03-05 12:36:12.863,260.7494
2025-03-05 12:36:13.865,216.2249
2025-03-05 12:36:14.865,178.2841
2025-03-05 12:36:15.866,142.0351
2025-03-05 12:36:16.865,98.0631
2025-03-05 12:36:17.867,389.6109
2025-03-05 12:36:18.871,90.0523
2025-03-05 12:36:19.869,308.8358
