time,delay_ms
2025-03-05 12:26:00.748,8.3525
2025-03-05 12:26:01.749,8.5964
2025-03-05 12:26:02.750,8.0667
2025-03-05 12:26:03.750,9.1159
2025-03-05 12:26:04.759,8.0510
2025-03-05 12:26:05.759,8.2714
2025-03-05 12:26:06.752,8.2349
2025-03-05 12:26:07.753,8.1573
2025-03-05 12:26:08.755,8.3421
2025-03-05 12:47:31.446,-1.0000
2025-03-05 12:47:32.446,8.9954
2025-03-05 12:47:33.446,9.0473
2025-03-05 12:47:34.447,9.7427
2025-03-05 12:47:35.448,9.7100
2025-03-05 12:47:36.449,8.8657
2025-03-05 12:47:37.450,8.7209
2025-03-05 12:47:38.449,9.1875
2025-03-05 12:47:39.450,9.2149
2025-03-05 12:47:40.451,9.0672
2025-03-05 12:47:41.451,9.2849
2025-03-05 12:47:42.452,9.3323
2025-03-05 12:47:43.453,9.3225
2025-03-05 12:47:44.454,8.9500
2025-03-05 12:47:45.454,9.0301
2025-03-05 12:47:46.454,9.1836
2025-03-05 12:47:47.457,9.0999
2025-03-05 12:47:48.456,9.2177
2025-03-05 12:47:49.457,9.1374
2025-03-05 12:47:50.466,9.2065
2025-03-05 12:47:51.474,8.9313
2025-03-05 12:47:52.458,9.2568
2025-03-05 12:47:53.459,9.0373
2025-03-05 12:47:54.459,9.0839
2025-03-05 12:47:55.460,9.0747
2025-03-05 12:47:56.460,9.1029
2025-03-05 12:47:57.462,9.2687
2025-03-05 12:47:58.462,8.8005
2025-03-05 12:47:59.463,8.8259
2025-03-05 12:48:00.463,9.0176
2025-03-05 12:48:01.463,9.3019
2025-03-05 12:48:02.464,9.2329
2025-03-05 12:48:03.466,8.8793
2025-03-05 12:48:04.466,8.9379
2025-03-05 12:48:05.466,8.8015
2025-03-05 12:48:06.467,9.1195
2025-03-05 12:48:07.467,9.3917
2025-03-05 12:48:08.467,9.1789
2025-03-05 12:48:09.468,8.7296
2025-03-05 12:48:10.469,9.1683
2025-03-05 12:48:11.470,8.8810
2025-03-05 12:48:12.469,9.2731
2025-03-05 12:48:13.470,9.0652
2025-03-05 12:48:14.470,8.8012
2025-03-05 12:48:15.480,9.4212
2025-03-05 12:48:16.479,9.4704
2025-03-05 12:48:17.471,9.2510
2025-03-05 12:48:18.472,8.6691
2025-03-05 12:48:19.472,9.1158
2025-03-05 12:48:20.472,9.0888
2025-03-05 12:48:21.473,8.9644
2025-03-05 12:48:22.476,9.3474
2025-03-05 12:48:23.476,8.8937
2025-03-05 12:48:24.476,9.2091
2025-03-05 12:48:25.476,8.7055
2025-03-05 12:48:26.476,8.8955
2025-03-05 12:48:27.478,9.0489
