time,delay_ms
2025-03-06 10:53:41.815,7.2482
2025-03-06 10:53:42.816,6.4757
2025-03-06 10:53:43.814,6.9790
2025-03-06 10:53:44.816,7.0702
2025-03-06 10:53:45.817,6.8404
2025-03-06 10:53:46.818,7.0714
2025-03-06 10:53:47.818,7.1443
2025-03-06 10:53:48.817,7.1185
2025-03-06 10:53:49.830,7.1740
2025-03-06 10:53:50.831,6.5237
2025-03-06 10:53:51.820,6.9815
2025-03-06 10:53:52.819,7.1956
2025-03-06 10:53:53.819,6.5110
2025-03-06 10:53:54.831,7.1212
2025-03-06 10:53:55.831,6.6411
2025-03-06 10:53:56.823,7.0991
2025-03-06 10:53:57.823,6.4721
2025-03-06 10:53:58.824,7.0545
2025-03-06 10:53:59.827,6.8689
2025-03-06 10:54:00.826,7.1822
2025-03-06 10:54:01.827,6.9421
2025-03-06 10:54:02.827,6.9958
2025-03-06 10:54:03.828,6.7733
2025-03-06 10:54:04.828,6.8675
2025-03-06 10:54:05.832,7.0419
2025-03-06 10:54:06.829,6.8297
2025-03-06 10:54:07.830,7.1447
2025-03-06 10:54:08.829,6.5376
2025-03-06 10:54:09.830,6.9029
2025-03-06 10:54:10.830,6.6748
2025-03-06 10:54:11.832,6.4147
2025-03-06 10:54:12.832,6.7464
2025-03-06 10:54:13.832,6.8851
2025-03-06 10:54:14.832,7.0089
2025-03-06 10:54:15.838,6.7843
2025-03-06 10:54:16.842,7.2720
2025-03-06 10:54:17.834,7.0073
2025-03-06 10:54:18.834,6.7061
2025-03-06 10:54:19.835,6.8402
2025-03-06 10:54:20.835,6.4019
2025-03-06 10:54:21.839,6.5375
2025-03-06 10:54:22.835,6.9302
2025-03-06 10:54:23.837,6.9003
2025-03-06 10:54:24.837,7.0110
2025-03-06 10:54:25.841,6.9615
2025-03-06 10:54:26.838,6.7462
2025-03-06 10:54:27.839,6.8567
2025-03-06 10:54:28.869,79.9454
2025-03-06 10:54:29.916,74.0393
2025-03-06 10:54:30.894,54.6515
2025-03-06 10:54:31.904,67.0519
2025-03-06 10:54:32.913,78.0310
2025-03-06 10:54:33.917,78.0087
2025-03-06 10:54:34.895,60.9946
2025-03-06 10:54:35.921,62.7918
2025-03-06 10:54:36.905,64.5199
2025-03-06 10:54:37.846,6.8008
2025-03-06 10:54:38.849,6.7664
2025-03-06 10:54:39.846,6.6074
2025-03-06 10:54:40.847,7.0105
2025-03-06 10:54:41.847,6.7002
2025-03-06 10:54:42.848,6.7297
2025-03-06 10:54:43.849,6.9937
2025-03-06 10:54:44.850,6.7484
2025-03-06 10:54:45.853,7.2039
2025-03-06 10:54:46.851,6.8171
2025-03-06 10:54:47.853,7.0812
2025-03-06 10:54:48.850,6.4458
2025-03-06 10:54:49.852,6.9982
2025-03-06 10:54:50.854,6.3847
2025-03-06 10:54:51.857,6.6824
2025-03-06 10:54:52.853,6.7563
2025-03-06 10:54:53.854,6.8383
2025-03-06 10:54:54.854,6.9904
2025-03-06 10:54:55.856,6.8989
2025-03-06 10:54:56.865,6.5691
2025-03-06 10:54:57.855,7.0974
2025-03-06 10:54:58.855,6.5739
2025-03-06 10:54:59.857,6.6331
2025-03-06 10:55:00.859,6.7053
2025-03-06 10:55:01.861,6.7826
2025-03-06 10:55:02.859,6.8997
2025-03-06 10:55:03.860,7.0264
2025-03-06 10:55:04.864,6.8753
2025-03-06 10:55:05.863,6.9589
2025-03-06 10:55:06.862,6.4408
2025-03-06 10:55:07.863,6.7956
2025-03-06 10:55:08.863,6.4827
2025-03-06 10:55:09.864,6.9481
2025-03-06 10:55:10.865,7.3207
2025-03-06 10:55:11.866,7.1248
2025-03-06 10:55:12.866,7.0985
2025-03-06 10:55:13.868,6.8235
2025-03-06 10:55:14.867,6.7911
2025-03-06 10:55:15.868,6.6456
2025-03-06 10:55:16.869,6.8948
2025-03-06 10:55:17.873,7.2979
2025-03-06 10:55:18.876,6.7847
2025-03-06 10:55:19.870,6.8878
2025-03-06 10:55:20.871,7.0449
2025-03-06 10:55:21.875,6.6199
2025-03-06 10:55:22.875,6.7571
2025-03-06 10:55:23.872,6.8672
2025-03-06 10:55:24.874,6.7492
2025-03-06 10:55:25.877,7.1359
2025-03-06 10:55:26.876,6.9779
2025-03-06 10:55:27.875,6.8681
2025-03-06 10:55:28.874,6.6799
2025-03-06 10:55:29.874,7.1983
2025-03-06 10:55:30.881,6.8601
2025-03-06 10:55:31.887,6.8298
2025-03-06 10:55:32.879,6.5657
2025-03-06 10:55:33.880,7.0049
2025-03-06 10:55:34.877,6.6379
2025-03-06 10:55:35.880,6.4861
2025-03-06 10:55:36.886,6.5897
2025-03-06 10:55:37.879,6.6819
2025-03-06 10:55:38.881,6.8889
2025-03-06 10:55:39.884,7.0627
2025-03-06 10:55:40.885,7.0501
2025-03-06 10:55:41.881,7.0590
2025-03-06 10:55:42.881,6.9669
2025-03-06 10:55:43.882,7.3112
2025-03-06 10:55:44.886,6.6304
2025-03-06 10:55:45.882,6.4386
2025-03-06 10:55:46.883,6.6399
2025-03-06 10:55:47.884,6.7704
2025-03-06 10:55:48.885,6.7226
2025-03-06 10:55:49.887,6.9837
2025-03-06 10:55:50.885,6.5603
2025-03-06 10:55:51.884,6.8234
2025-03-06 10:55:52.888,7.0949
2025-03-06 10:55:53.886,6.6966
2025-03-06 10:55:54.888,7.3615
2025-03-06 10:55:55.889,7.0018
2025-03-06 10:55:56.894,7.0124
2025-03-06 10:55:57.889,6.9713
2025-03-06 10:55:58.887,6.6514
2025-03-06 10:55:59.888,7.3567
2025-03-06 10:56:00.888,6.7405
2025-03-06 10:56:01.894,7.0869
2025-03-06 10:56:02.889,6.6493
2025-03-06 10:56:03.894,6.8593
2025-03-06 10:56:04.890,6.5798
2025-03-06 10:56:05.894,6.5993
2025-03-06 10:56:06.894,6.5070
2025-03-06 10:56:07.893,6.7795
2025-03-06 10:56:08.893,6.9775
2025-03-06 10:56:09.894,6.9287
2025-03-06 10:56:10.896,7.1209
2025-03-06 10:56:11.895,6.8123
2025-03-06 10:56:12.896,6.9785
2025-03-06 10:56:13.898,6.6602
2025-03-06 10:56:14.910,6.8466
2025-03-06 10:56:15.898,6.9556
2025-03-06 10:56:16.899,6.7219
2025-03-06 10:56:17.901,6.5426
2025-03-06 10:56:18.906,8.9804
2025-03-06 10:56:19.907,8.7636
2025-03-06 10:56:20.906,8.7522
2025-03-06 10:56:21.905,8.6842
2025-03-06 10:56:22.907,8.8514
2025-03-06 10:56:23.910,8.7083
2025-03-06 10:56:24.907,8.7807
2025-03-06 10:56:25.908,8.8552
2025-03-06 10:56:26.909,8.8805
2025-03-06 10:56:27.910,8.6317
2025-03-06 10:56:28.911,8.9297
2025-03-06 10:56:29.910,7.6882
2025-03-06 10:56:30.910,8.0158
2025-03-06 10:56:31.918,7.9707
2025-03-06 10:56:32.911,7.8364
2025-03-06 10:56:33.913,8.0741
2025-03-06 10:56:34.917,8.2572
2025-03-06 10:56:35.913,8.2019
