time,delay_ms
2025-03-06 10:53:41.815,66.4685
2025-03-06 10:53:42.816,63.0942
2025-03-06 10:53:43.814,55.2354
2025-03-06 10:53:44.816,105.7240
2025-03-06 10:53:45.817,73.7289
2025-03-06 10:53:46.818,71.9738
2025-03-06 10:53:47.817,82.2436
2025-03-06 10:53:48.817,63.3905
2025-03-06 10:53:49.832,77.7806
2025-03-06 10:53:50.831,68.2247
2025-03-06 10:53:51.820,60.3229
2025-03-06 10:53:52.820,70.4013
2025-03-06 10:53:53.819,61.2885
2025-03-06 10:53:54.831,61.2889
2025-03-06 10:53:55.831,66.2287
2025-03-06 10:53:56.823,66.7065
2025-03-06 10:53:57.823,68.7315
2025-03-06 10:53:58.824,65.2329
2025-03-06 10:53:59.828,64.9215
2025-03-06 10:54:00.826,53.8849
2025-03-06 10:54:01.826,52.5545
2025-03-06 10:54:02.827,62.1490
2025-03-06 10:54:03.828,51.9457
2025-03-06 10:54:04.828,62.4364
2025-03-06 10:54:05.832,65.5565
2025-03-06 10:54:06.829,60.0443
2025-03-06 10:54:07.830,69.5303
2025-03-06 10:54:08.829,59.5898
2025-03-06 10:54:09.830,56.9629
2025-03-06 10:54:10.831,68.9234
2025-03-06 10:54:11.833,87.1853
2025-03-06 10:54:12.833,68.9717
2025-03-06 10:54:13.833,177.0988
2025-03-06 10:54:14.834,56.5482
2025-03-06 10:54:15.838,82.7907
2025-03-06 10:54:16.842,67.6016
2025-03-06 10:54:17.834,65.4597
2025-03-06 10:54:18.834,103.3811
2025-03-06 10:54:19.835,55.1356
2025-03-06 10:54:20.836,73.9933
2025-03-06 10:54:21.839,63.1604
2025-03-06 10:54:22.836,73.4728
2025-03-06 10:54:23.836,94.6198
2025-03-06 10:54:24.838,61.7586
2025-03-06 10:54:25.840,58.7995
2025-03-06 10:54:26.838,71.0019
2025-03-06 10:54:27.839,60.2888
2025-03-06 10:54:28.869,52.0531
2025-03-06 10:54:29.916,73.2279
2025-03-06 10:54:30.894,54.3277
2025-03-06 10:54:31.903,56.9282
2025-03-06 10:54:32.913,65.1559
2025-03-06 10:54:33.917,62.2994
2025-03-06 10:54:34.895,44.3162
2025-03-06 10:54:35.921,56.8197
2025-03-06 10:54:36.906,54.1613
2025-03-06 10:54:37.847,77.2484
2025-03-06 10:54:38.850,50.4219
2025-03-06 10:54:39.846,73.7639
2025-03-06 10:54:40.847,72.1589
2025-03-06 10:54:41.847,70.3965
2025-03-06 10:54:42.848,51.3558
2025-03-06 10:54:43.849,79.0453
2025-03-06 10:54:44.850,50.9363
2025-03-06 10:54:45.852,56.6549
2025-03-06 10:54:46.850,76.5461
2025-03-06 10:54:47.854,65.3084
2025-03-06 10:54:48.851,50.4404
2025-03-06 10:54:49.852,67.5031
2025-03-06 10:54:50.852,67.4558
2025-03-06 10:54:51.856,85.6387
2025-03-06 10:54:52.853,75.6027
2025-03-06 10:54:53.853,57.0022
2025-03-06 10:54:54.854,45.3779
2025-03-06 10:54:55.855,65.8495
2025-03-06 10:54:56.864,54.4501
2025-03-06 10:54:57.856,83.4323
2025-03-06 10:54:58.856,44.7471
2025-03-06 10:54:59.857,63.2346
2025-03-06 10:55:00.859,73.1075
2025-03-06 10:55:01.860,79.0098
2025-03-06 10:55:02.859,60.1656
2025-03-06 10:55:03.860,69.9561
2025-03-06 10:55:04.864,72.9643
2025-03-06 10:55:05.864,65.9762
2025-03-06 10:55:06.870,80.6811
2025-03-06 10:55:07.863,65.9708
2025-03-06 10:55:08.864,87.4332
2025-03-06 10:55:09.865,72.8423
2025-03-06 10:55:10.865,73.5029
2025-03-06 10:55:11.866,93.0979
2025-03-06 10:55:12.866,74.3207
2025-03-06 10:55:13.868,71.2379
2025-03-06 10:55:14.867,54.6755
2025-03-06 10:55:15.868,71.3642
