time,delay_ms
2025-03-06 10:53:41.552,6.8407
2025-03-06 10:53:41.609,6.8192
2025-03-06 10:53:42.552,7.0867
2025-03-06 10:53:42.620,6.7549
2025-03-06 10:53:43.553,6.9903
2025-03-06 10:53:43.619,6.6244
2025-03-06 10:53:44.553,6.6769
2025-03-06 10:53:44.611,6.6708
2025-03-06 10:53:45.553,6.7969
2025-03-06 10:53:45.611,7.1333
2025-03-06 10:53:46.553,7.2142
2025-03-06 10:53:46.611,6.6275
2025-03-06 10:53:47.554,7.0186
2025-03-06 10:53:47.622,6.8789
2025-03-06 10:53:48.555,7.1241
2025-03-06 10:53:48.622,6.9402
2025-03-06 10:53:49.555,6.3453
2025-03-06 10:53:49.613,6.6399
2025-03-06 10:53:50.555,6.7677
2025-03-06 10:53:50.614,6.7731
2025-03-06 10:53:51.555,6.8277
2025-03-06 10:53:51.615,6.7124
2025-03-06 10:53:52.555,6.8342
2025-03-06 10:53:52.616,7.0752
2025-03-06 10:53:53.556,6.9044
2025-03-06 10:53:53.616,6.5803
2025-03-06 10:53:54.555,7.2714
2025-03-06 10:53:54.616,7.1551
2025-03-06 10:53:55.556,6.9722
2025-03-06 10:53:55.618,6.5405
2025-03-06 10:53:56.556,7.0033
2025-03-06 10:53:56.618,6.8393
2025-03-06 10:53:57.556,7.0161
2025-03-06 10:53:57.627,7.0105
2025-03-06 10:53:58.557,6.9218
2025-03-06 10:53:58.628,6.5673
2025-03-06 10:53:59.558,7.1139
2025-03-06 10:53:59.619,6.7407
2025-03-06 10:54:00.558,6.8731
2025-03-06 10:54:00.620,6.9465
2025-03-06 10:54:01.559,7.0465
2025-03-06 10:54:01.620,6.6509
2025-03-06 10:54:02.559,7.1056
2025-03-06 10:54:02.620,6.8567
2025-03-06 10:54:03.560,6.7374
2025-03-06 10:54:03.621,7.1616
2025-03-06 10:54:04.561,6.6657
2025-03-06 10:54:04.620,6.5295
2025-03-06 10:54:05.561,6.8215
2025-03-06 10:54:05.621,6.9437
2025-03-06 10:54:06.562,7.2107
2025-03-06 10:54:06.622,6.5376
