time,delay_ms
2025-03-06 10:53:41.552,14.0566
2025-03-06 10:53:41.609,22.5742
2025-03-06 10:53:42.553,12.5369
2025-03-06 10:53:42.620,17.3932
2025-03-06 10:53:43.552,18.4029
2025-03-06 10:53:43.620,13.2786
2025-03-06 10:53:44.552,13.9438
2025-03-06 10:53:44.611,11.5789
2025-03-06 10:53:45.553,12.6474
2025-03-06 10:53:45.611,13.8614
2025-03-06 10:53:46.554,12.8941
2025-03-06 10:53:46.612,12.0597
2025-03-06 10:53:47.554,11.9849
2025-03-06 10:53:47.622,13.4001
2025-03-06 10:53:48.555,12.2839
2025-03-06 10:53:48.623,15.7169
2025-03-06 10:53:49.554,12.0707
2025-03-06 10:53:49.614,14.5381
2025-03-06 10:53:50.555,16.1486
2025-03-06 10:53:50.614,12.7907
2025-03-06 10:53:51.555,13.0917
2025-03-06 10:53:51.615,12.0797
2025-03-06 10:53:52.556,13.3652
2025-03-06 10:53:52.616,13.5222
2025-03-06 10:53:53.556,14.0409
2025-03-06 10:53:53.617,16.3252
2025-03-06 10:53:54.555,11.6534
2025-03-06 10:53:54.617,12.3587
2025-03-06 10:53:55.556,13.0759
2025-03-06 10:53:55.618,12.4629
2025-03-06 10:53:56.556,16.9822
2025-03-06 10:53:56.618,12.8080
2025-03-06 10:53:57.556,14.7902
2025-03-06 10:53:57.628,14.1675
2025-03-06 10:53:58.557,15.1316
2025-03-06 10:53:58.628,14.9373
2025-03-06 10:53:59.557,20.7351
2025-03-06 10:53:59.619,13.5909
2025-03-06 10:54:00.558,12.0341
2025-03-06 10:54:00.620,19.6002
2025-03-06 10:54:01.559,12.7345
2025-03-06 10:54:01.620,13.8340
2025-03-06 10:54:02.559,11.9943
2025-03-06 10:54:02.621,16.7305
2025-03-06 10:54:03.560,13.2816
2025-03-06 10:54:03.621,13.9019
2025-03-06 10:54:04.561,12.0997
2025-03-06 10:54:04.621,18.3199
2025-03-06 10:54:05.561,13.1365
2025-03-06 10:54:05.622,13.1926
2025-03-06 10:54:06.562,14.5102
2025-03-06 10:54:06.622,12.2630
2025-03-06 10:54:07.563,12.4997
2025-03-06 10:54:07.622,12.9746
2025-03-06 10:54:08.564,13.2623
2025-03-06 10:54:08.623,14.3549
2025-03-06 10:54:09.564,12.7330
2025-03-06 10:54:09.623,12.4222
2025-03-06 10:54:10.565,13.0234
2025-03-06 10:54:10.624,13.4953
2025-03-06 10:54:11.565,13.9853
2025-03-06 10:54:11.625,15.5499
2025-03-06 10:54:12.566,16.6185
2025-03-06 10:54:12.636,22.7183
2025-03-06 10:54:13.566,12.8243
2025-03-06 10:54:13.637,12.7649
2025-03-06 10:54:14.567,13.3321
2025-03-06 10:54:14.626,17.7294
2025-03-06 10:54:15.568,13.9737
2025-03-06 10:54:15.626,14.7469
2025-03-06 10:54:16.569,13.1427
2025-03-06 10:54:16.627,12.5891
2025-03-06 10:54:17.570,16.4095
2025-03-06 10:54:17.628,14.1143
2025-03-06 10:54:18.570,11.9311
2025-03-06 10:54:18.628,13.3802
2025-03-06 10:54:19.571,13.0858
2025-03-06 10:54:19.629,21.7579
2025-03-06 10:54:20.575,15.1348
2025-03-06 10:54:20.629,13.5229
2025-03-06 10:54:21.574,14.7281
2025-03-06 10:54:21.630,16.0223
2025-03-06 10:54:22.575,13.8242
2025-03-06 10:54:22.630,12.1889
2025-03-06 10:54:23.575,12.9159
2025-03-06 10:54:23.631,14.2910
2025-03-06 10:54:24.580,14.4384
2025-03-06 10:54:24.631,12.7242
2025-03-06 10:54:25.585,13.1350
2025-03-06 10:54:25.631,12.7373
2025-03-06 10:54:26.577,13.9750
2025-03-06 10:54:26.633,17.0366
2025-03-06 10:54:27.579,12.4656
2025-03-06 10:54:27.634,13.4226
2025-03-06 10:54:28.578,12.7186
2025-03-06 10:54:28.634,13.7659
2025-03-06 10:54:29.583,15.6173
2025-03-06 10:54:29.635,13.6928
2025-03-06 10:54:30.584,15.5778
2025-03-06 10:54:30.636,15.6049
2025-03-06 10:54:31.579,13.2171
2025-03-06 10:54:31.635,13.4458
2025-03-06 10:54:32.580,15.1893
2025-03-06 10:54:32.637,15.3621
2025-03-06 10:54:33.580,14.5238
2025-03-06 10:54:33.638,17.5089
2025-03-06 10:54:34.581,15.1734
2025-03-06 10:54:34.639,13.3422
2025-03-06 10:54:35.581,15.8662
2025-03-06 10:54:35.639,18.7712
2025-03-06 10:54:36.582,15.7716
2025-03-06 10:54:36.639,17.6379
2025-03-06 10:54:37.584,14.9467
2025-03-06 10:54:37.639,13.5755
2025-03-06 10:54:38.584,14.3359
2025-03-06 10:54:38.639,14.1508
2025-03-06 10:54:39.586,13.7779
2025-03-06 10:54:39.640,12.9251
2025-03-06 10:54:40.586,13.2201
2025-03-06 10:54:40.641,16.3590
2025-03-06 10:54:41.587,223.4559
2025-03-06 10:54:41.641,169.2519
2025-03-06 10:54:42.586,18.1673
2025-03-06 10:54:42.642,13.8639
2025-03-06 10:54:43.586,15.5987
2025-03-06 10:54:43.643,13.9315
2025-03-06 10:54:44.587,15.1441
2025-03-06 10:54:44.644,20.7499
2025-03-06 10:54:45.588,13.2921
2025-03-06 10:54:45.645,15.3716
